Student_ID,First_Name,Last_Name,College_Email,Branch_ID,CGPA,Active_Backlogs,Graduation_Year,Resume_Score,Profile_Created_Date,Is_Active
STU0001,Isaac,Bakshi,stu0001@nhce.edu,B003,8.53,0,2027,,2026-08-01,True
STU0002,Anvi,Konda,stu0002@nhce.edu,B005,7.09,0,2027,,2026-08-01,True
STU0003,Udant,Dewan,stu0003@nhce.edu,B003,8.91,0,2027,,2026-08-01,True
STU0004,Harsh,Chahal,stu0004@nhce.edu,B007,9.52,0,2027,,2026-08-01,True
STU0005,Pahal,Balay,stu0005@nhce.edu,B005,7.67,0,2027,,2026-08-01,True
STU0006,Ayushman,Chander,stu0006@nhce.edu,B006,6.86,0,2027,,2026-08-01,True
STU0007,Tejas,Kaul,stu0007@nhce.edu,B007,6.1,0,2027,,2026-08-01,True
STU0008,Yashasvi,Bala,stu0008@nhce.edu,B006,8.57,0,2027,,2026-08-01,True
STU0009,Rushil,Saini,stu0009@nhce.edu,B004,6.87,0,2027,,2026-08-01,True
STU0010,Thomas,Sen,stu0010@nhce.edu,B002,9.2,0,2027,,2026-08-01,True
STU0011,Arunima,Ahuja,stu0011@nhce.edu,B003,9.18,0,2027,,2026-08-01,True
STU0012,Nathaniel,Sami,stu0012@nhce.edu,B005,7.34,0,2027,,2026-08-01,True
STU0013,Harini,Mall,stu0013@nhce.edu,B005,9.78,0,2027,,2026-08-01,True
STU0014,Nachiket,Kale,stu0014@nhce.edu,B008,6.37,0,2027,,2026-08-01,True
STU0015,Gayathri,Chaudry,stu0015@nhce.edu,B008,9.35,0,2027,,2026-08-01,True
STU0016,George,Rai,stu0016@nhce.edu,B006,9.19,0,2027,,2026-08-01,True
STU0017,Gunbir,Parmer,stu0017@nhce.edu,B004,8.12,2,2027,,2026-08-01,True
STU0018,Hemangini,Lalla,stu0018@nhce.edu,B004,7.5,0,2027,,2026-08-01,True
STU0019,Caleb,Sharaf,stu0019@nhce.edu,B002,9.28,0,2027,,2026-08-01,True
STU0020,Jeet,Radhakrishnan,stu0020@nhce.edu,B001,9.4,0,2027,,2026-08-01,True
STU0021,Farhan,Memon,stu0021@nhce.edu,B002,8.78,0,2027,,2026-08-01,True
STU0022,Janaki,Handa,stu0022@nhce.edu,B001,6.9,0,2027,,2026-08-01,True
STU0023,Ekaraj,Bath,stu0023@nhce.edu,B004,6.32,0,2027,,2026-08-01,True
STU0024,Vedant,Mann,stu0024@nhce.edu,B004,6.4,0,2027,,2026-08-01,True
STU0025,Fariq,Kaul,stu0025@nhce.edu,B005,8.51,0,2027,,2026-08-01,True
STU0026,Harrison,Rai,stu0026@nhce.edu,B005,7.46,0,2027,,2026-08-01,True
STU0027,Arunima,Setty,stu0027@nhce.edu,B005,7.05,1,2027,,2026-08-01,True
STU0028,Janya,Gaba,stu0028@nhce.edu,B002,8.56,0,2027,,2026-08-01,True
STU0029,Kamala,Pant,stu0029@nhce.edu,B005,6.68,0,2027,,2026-08-01,True
STU0030,Shaurya,Loke,stu0030@nhce.edu,B005,6.65,0,2027,,2026-08-01,True
STU0031,Ekbal,Garg,stu0031@nhce.edu,B002,9.91,0,2027,,2026-08-01,True
STU0032,Yash,Gade,stu0032@nhce.edu,B004,8.2,0,2027,,2026-08-01,True
STU0033,Turvi,Raghavan,stu0033@nhce.edu,B001,9.33,0,2027,,2026-08-01,True
STU0034,Anamika,Kanda,stu0034@nhce.edu,B008,6.9,0,2027,,2026-08-01,True
STU0035,Ekta,Bhalla,stu0035@nhce.edu,B005,7.25,0,2027,,2026-08-01,True
STU0036,Veer,Balay,stu0036@nhce.edu,B002,6.83,1,2027,,2026-08-01,True
STU0037,Diya,Rattan,stu0037@nhce.edu,B006,9.46,0,2027,,2026-08-01,True
STU0038,Amrita,Bhatti,stu0038@nhce.edu,B003,8.59,0,2027,,2026-08-01,True
STU0039,Siddharth,Murty,stu0039@nhce.edu,B003,9.61,0,2027,,2026-08-01,True
STU0040,Simon,Tata,stu0040@nhce.edu,B006,7.05,0,2027,,2026-08-01,True
STU0041,Meghana,Shanker,stu0041@nhce.edu,B001,8.22,0,2027,,2026-08-01,True
STU0042,Luke,Lanka,stu0042@nhce.edu,B002,8.31,1,2027,,2026-08-01,True
STU0043,Liam,Koshy,stu0043@nhce.edu,B005,7.58,0,2027,,2026-08-01,True
STU0044,Adya,Sangha,stu0044@nhce.edu,B005,9.94,0,2027,,2026-08-01,True
STU0045,Mohini,Pathak,stu0045@nhce.edu,B002,6.36,0,2027,,2026-08-01,True
STU0046,Theodore,Devi,stu0046@nhce.edu,B005,6.43,0,2027,,2026-08-01,True
STU0047,Yashodhara,Tak,stu0047@nhce.edu,B007,9.13,0,2027,,2026-08-01,True
STU0048,Gavin,Batta,stu0048@nhce.edu,B001,6.25,0,2027,,2026-08-01,True
STU0049,Imaran,Dua,stu0049@nhce.edu,B007,9.93,0,2027,,2026-08-01,True
STU0050,Nathaniel,Sami,stu0050@nhce.edu,B002,9.84,1,2027,,2026-08-01,True
STU0051,Devansh,Rajan,stu0051@nhce.edu,B007,6.05,0,2027,,2026-08-01,True
STU0052,Lakshmi,Sidhu,stu0052@nhce.edu,B005,8.69,0,2027,,2026-08-01,True
STU0053,Zayan,Apte,stu0053@nhce.edu,B003,7.05,0,2027,,2026-08-01,True
STU0054,Ishwar,Yadav,stu0054@nhce.edu,B005,6.44,0,2027,,2026-08-01,True
STU0055,Amara,Oak,stu0055@nhce.edu,B003,7.79,2,2027,,2026-08-01,True
STU0056,Isaac,Memon,stu0056@nhce.edu,B004,9.46,0,2027,,2026-08-01,True
STU0057,Radhika,Dugar,stu0057@nhce.edu,B001,7.98,0,2027,,2026-08-01,True
STU0058,Sudiksha,Aggarwal,stu0058@nhce.edu,B007,9.6,1,2027,,2026-08-01,True
STU0059,Adya,Tella,stu0059@nhce.edu,B001,7.18,0,2027,,2026-08-01,True
STU0060,Pranav,Tripathi,stu0060@nhce.edu,B004,8.41,0,2027,,2026-08-01,True
STU0061,Hitesh,Misra,stu0061@nhce.edu,B005,9.01,0,2027,,2026-08-01,True
STU0062,Yashica,Issac,stu0062@nhce.edu,B006,9.08,0,2027,,2026-08-01,True
STU0063,Michael,Prakash,stu0063@nhce.edu,B005,6.0,0,2027,,2026-08-01,True
STU0064,Neel,Zacharia,stu0064@nhce.edu,B008,6.08,1,2027,,2026-08-01,True
STU0065,Aadi,Naik,stu0065@nhce.edu,B005,9.47,1,2027,,2026-08-01,True
STU0066,Vrinda,Bahl,stu0066@nhce.edu,B008,7.21,0,2027,,2026-08-01,True
STU0067,Isaac,Patil,stu0067@nhce.edu,B002,9.47,1,2027,,2026-08-01,True
STU0068,Damyanti,Khatri,stu0068@nhce.edu,B003,6.34,0,2027,,2026-08-01,True
STU0069,Dalbir,Khosla,stu0069@nhce.edu,B003,6.27,0,2027,,2026-08-01,True
STU0070,Farhan,Chada,stu0070@nhce.edu,B007,9.03,0,2027,,2026-08-01,True
STU0071,Vedika,Biswas,stu0071@nhce.edu,B007,7.88,0,2027,,2026-08-01,True
STU0072,Jeremiah,Dave,stu0072@nhce.edu,B005,7.05,1,2027,,2026-08-01,True
STU0073,Vaishnavi,Gandhi,stu0073@nhce.edu,B008,7.67,0,2027,,2026-08-01,True
STU0074,Alka,Wable,stu0074@nhce.edu,B003,8.13,0,2027,,2026-08-01,True
STU0075,Pallavi,Kakar,stu0075@nhce.edu,B001,6.79,0,2027,,2026-08-01,True
STU0076,Sai,Muni,stu0076@nhce.edu,B004,9.93,0,2027,,2026-08-01,True
STU0077,Mohini,Prakash,stu0077@nhce.edu,B008,7.73,0,2027,,2026-08-01,True
STU0078,Raksha,Varughese,stu0078@nhce.edu,B002,6.48,0,2027,,2026-08-01,True
STU0079,Siya,Dara,stu0079@nhce.edu,B007,7.34,0,2027,,2026-08-01,True
STU0080,Yug,Kar,stu0080@nhce.edu,B006,6.91,0,2027,,2026-08-01,True
STU0081,Devansh,Nigam,stu0081@nhce.edu,B003,6.28,0,2027,,2026-08-01,True
STU0082,Ansh,Karpe,stu0082@nhce.edu,B004,6.9,1,2027,,2026-08-01,True
STU0083,Thomas,Amble,stu0083@nhce.edu,B002,9.4,0,2027,,2026-08-01,True
STU0084,Ekavir,Bhargava,stu0084@nhce.edu,B004,6.94,0,2027,,2026-08-01,True
STU0085,Veer,Bir,stu0085@nhce.edu,B005,6.85,0,2027,,2026-08-01,True
STU0086,Azad,Narayanan,stu0086@nhce.edu,B007,9.7,0,2027,,2026-08-01,True
STU0087,Ekavir,Varkey,stu0087@nhce.edu,B007,7.87,0,2027,,2026-08-01,True
STU0088,Wazir,Mallick,stu0088@nhce.edu,B005,9.19,0,2027,,2026-08-01,True
STU0089,Vedika,Kala,stu0089@nhce.edu,B002,6.38,0,2027,,2026-08-01,True
STU0090,Kevin,Solanki,stu0090@nhce.edu,B005,7.67,0,2027,,2026-08-01,True
STU0091,Xavier,Solanki,stu0091@nhce.edu,B007,8.88,0,2027,,2026-08-01,True
STU0092,Niharika,Gupta,stu0092@nhce.edu,B003,9.89,0,2027,,2026-08-01,True
STU0093,Girindra,Chatterjee,stu0093@nhce.edu,B007,7.59,0,2027,,2026-08-01,True
STU0094,Raagini,Pandya,stu0094@nhce.edu,B003,9.4,0,2027,,2026-08-01,True
STU0095,Pallavi,Roy,stu0095@nhce.edu,B006,6.75,0,2027,,2026-08-01,True
STU0096,Unni,Bhagat,stu0096@nhce.edu,B004,7.67,0,2027,,2026-08-01,True
STU0097,Guneet,Bhat,stu0097@nhce.edu,B005,6.99,1,2027,,2026-08-01,True
STU0098,Neha,Nori,stu0098@nhce.edu,B001,7.75,1,2027,,2026-08-01,True
STU0099,Ikbal,Kothari,stu0099@nhce.edu,B003,8.17,0,2027,,2026-08-01,True
STU0100,Rehaan,Gupta,stu0100@nhce.edu,B002,9.95,1,2027,,2026-08-01,True
STU0101,Saumya,Dey,stu0101@nhce.edu,B003,9.83,1,2027,,2026-08-01,True
STU0102,Pahal,Goswami,stu0102@nhce.edu,B003,9.35,0,2027,,2026-08-01,True
